event,movement_type_reach,movement_type_sum,ID,A,W,feedbackMode,buffer,reaching_count,outs_count,indication,sucess_type,count
clickDown,pause,pause,2.5025003405291835,238,84,green,0,1,0,barspace,success no outs,21
clickDown,pause,pause,2.5025003405291835,238,84,green,0,1,0,click,success no outs,29
clickDown,pause,pause,2.5025003405291835,238,84,green,0,1,1,barspace,fail,7
clickDown,pause,pause,2.5025003405291835,238,84,green,0,2,1,barspace,success +1 reach,2
clickDown,pause,pause,2.5025003405291835,238,84,green,15,1,0,barspace,success no outs,26
clickDown,pause,pause,2.5025003405291835,238,84,green,15,1,0,click,success no outs,27
clickDown,pause,pause,2.5025003405291835,238,84,green,15,1,1,barspace,fail,3
clickDown,pause,pause,2.5025003405291835,238,84,green,15,2,1,barspace,success +1 reach,1
clickDown,pause,pause,2.5025003405291835,238,84,green,15,2,1,click,success +1 reach,1
clickDown,pause,pause,2.5025003405291835,238,84,none,0,1,0,barspace,success no outs,24
clickDown,pause,pause,2.5025003405291835,238,84,none,0,1,0,click,success no outs,18
clickDown,pause,pause,2.5025003405291835,238,84,none,0,1,1,barspace,fail,4
clickDown,pause,pause,2.5025003405291835,238,84,none,0,2,1,barspace,success +1 reach,1
clickDown,pause,pause,2.5025003405291835,238,84,none,0,2,1,click,success +1 reach,5
clickDown,pause,pause,3.0,336,84,green,0,1,0,barspace,success no outs,28
clickDown,pause,pause,3.0,336,84,green,0,1,0,click,success no outs,22
clickDown,pause,pause,3.0,336,84,green,0,1,1,barspace,fail,3
clickDown,pause,pause,3.0,336,84,green,0,2,1,barspace,success +1 reach,2
clickDown,pause,pause,3.0,336,84,green,0,2,1,click,success +1 reach,6
clickDown,pause,pause,3.0,336,84,green,0,2,2,click,fail,1
clickDown,pause,pause,3.0,336,84,green,15,1,0,barspace,success no outs,20
clickDown,pause,pause,3.0,336,84,green,15,1,0,click,success no outs,23
clickDown,pause,pause,3.0,336,84,green,15,1,1,barspace,fail,6
clickDown,pause,pause,3.0,336,84,green,15,1,1,click,fail,1
clickDown,pause,pause,3.0,336,84,green,15,2,1,click,success +1 reach,3
clickDown,pause,pause,3.0,336,84,none,0,1,0,barspace,success no outs,23
clickDown,pause,pause,3.0,336,84,none,0,1,0,click,success no outs,25
clickDown,pause,pause,3.0,336,84,none,0,1,1,barspace,fail,5
clickDown,pause,pause,3.0,336,84,none,0,1,1,click,fail,3
clickDown,pause,pause,3.0,336,84,none,0,2,1,barspace,success +1 reach,3
clickDown,pause,pause,3.5025003405291835,238,42,green,0,1,0,barspace,success no outs,23
clickDown,pause,pause,3.5025003405291835,238,42,green,0,1,0,click,success no outs,31
clickDown,pause,pause,3.5025003405291835,238,42,green,0,1,1,barspace,fail,3
clickDown,pause,pause,3.5025003405291835,238,42,green,0,1,1,click,fail,2
clickDown,pause,pause,3.5025003405291835,238,42,green,0,2,1,click,success +1 reach,2
clickDown,pause,pause,3.5025003405291835,238,42,green,0,2,2,barspace,fail,1
clickDown,pause,pause,3.5025003405291835,238,42,green,15,1,0,barspace,success no outs,31
clickDown,pause,pause,3.5025003405291835,238,42,green,15,1,0,click,success no outs,28
clickDown,pause,pause,3.5025003405291835,238,42,green,15,1,1,barspace,fail,1
clickDown,pause,pause,3.5025003405291835,238,42,green,15,1,1,click,fail,1
clickDown,pause,pause,3.5025003405291835,238,42,green,15,2,1,barspace,success +1 reach,2
clickDown,pause,pause,3.5025003405291835,238,42,green,15,2,1,click,success +1 reach,2
clickDown,pause,pause,3.5025003405291835,238,42,none,0,1,0,barspace,success no outs,22
clickDown,pause,pause,3.5025003405291835,238,42,none,0,1,0,click,success no outs,23
clickDown,pause,pause,3.5025003405291835,238,42,none,0,1,1,barspace,fail,7
clickDown,pause,pause,3.5025003405291835,238,42,none,0,1,1,click,fail,3
clickDown,pause,pause,3.5025003405291835,238,42,none,0,2,1,barspace,success +1 reach,2
clickDown,pause,pause,3.5025003405291835,238,42,none,0,2,1,click,success +1 reach,1
clickDown,pause,pause,4.0,336,42,green,0,1,0,barspace,success no outs,28
clickDown,pause,pause,4.0,336,42,green,0,1,0,click,success no outs,28
clickDown,pause,pause,4.0,336,42,green,0,1,1,click,fail,1
clickDown,pause,pause,4.0,336,42,green,0,2,1,barspace,success +1 reach,4
clickDown,pause,pause,4.0,336,42,green,0,2,1,click,success +1 reach,5
clickDown,pause,pause,4.0,336,42,green,15,1,0,barspace,success no outs,28
clickDown,pause,pause,4.0,336,42,green,15,1,0,click,success no outs,30
clickDown,pause,pause,4.0,336,42,green,15,1,1,barspace,fail,1
clickDown,pause,pause,4.0,336,42,none,0,1,0,barspace,success no outs,23
clickDown,pause,pause,4.0,336,42,none,0,1,0,click,success no outs,24
clickDown,pause,pause,4.0,336,42,none,0,1,1,barspace,fail,2
clickDown,pause,pause,4.0,336,42,none,0,1,1,click,fail,2
clickDown,pause,pause,4.0,336,42,none,0,2,1,barspace,success +1 reach,1
clickDown,pause,pause,4.0,336,42,none,0,2,1,click,success +1 reach,1
clickDown,pause,pause,4.0,336,42,none,0,2,2,click,fail,1
clickDown,pause,pause,4.0,672,84,green,0,1,0,barspace,success no outs,26
clickDown,pause,pause,4.0,672,84,green,0,1,0,click,success no outs,25
clickDown,pause,pause,4.0,672,84,green,0,1,1,barspace,fail,1
clickDown,pause,pause,4.0,672,84,green,0,1,1,click,fail,2
clickDown,pause,pause,4.0,672,84,green,0,2,1,barspace,success +1 reach,2
clickDown,pause,pause,4.0,672,84,green,0,2,1,click,success +1 reach,1
clickDown,pause,pause,4.0,672,84,green,15,1,0,barspace,success no outs,23
clickDown,pause,pause,4.0,672,84,green,15,1,0,click,success no outs,24
clickDown,pause,pause,4.0,672,84,green,15,1,1,barspace,fail,3
clickDown,pause,pause,4.0,672,84,green,15,2,1,barspace,success +1 reach,2
clickDown,pause,pause,4.0,672,84,green,15,2,1,click,success +1 reach,1
clickDown,pause,pause,4.0,672,84,none,0,1,0,barspace,success no outs,21
clickDown,pause,pause,4.0,672,84,none,0,1,0,click,success no outs,26
clickDown,pause,pause,4.0,672,84,none,0,1,1,barspace,fail,4
clickDown,pause,pause,4.0,672,84,none,0,1,1,click,fail,3
clickDown,pause,pause,4.0,672,84,none,0,2,1,barspace,success +1 reach,7
clickDown,pause,pause,4.0,672,84,none,0,2,1,click,success +1 reach,5
clickDown,pause,pause,4.502500340529183,238,21,green,0,1,0,barspace,success no outs,20
clickDown,pause,pause,4.502500340529183,238,21,green,0,1,0,click,success no outs,25
clickDown,pause,pause,4.502500340529183,238,21,green,0,1,1,barspace,fail,5
clickDown,pause,pause,4.502500340529183,238,21,green,0,1,1,click,fail,6
clickDown,pause,pause,4.502500340529183,238,21,green,0,2,1,barspace,success +1 reach,2
clickDown,pause,pause,4.502500340529183,238,21,green,0,2,1,click,success +1 reach,2
clickDown,pause,pause,4.502500340529183,238,21,green,0,2,2,barspace,fail,1
clickDown,pause,pause,4.502500340529183,238,21,green,0,2,2,click,fail,1
clickDown,pause,pause,4.502500340529183,238,21,green,0,3,2,barspace,success +1 reach,1
clickDown,pause,pause,4.502500340529183,238,21,green,0,4,3,barspace,success +1 reach,1
clickDown,pause,pause,4.502500340529183,238,21,green,15,1,0,barspace,success no outs,28
clickDown,pause,pause,4.502500340529183,238,21,green,15,1,0,click,success no outs,22
clickDown,pause,pause,4.502500340529183,238,21,green,15,1,1,click,fail,1
clickDown,pause,pause,4.502500340529183,238,21,green,15,2,1,barspace,success +1 reach,4
clickDown,pause,pause,4.502500340529183,238,21,green,15,2,1,click,success +1 reach,2
clickDown,pause,pause,4.502500340529183,238,21,none,0,1,0,barspace,success no outs,22
clickDown,pause,pause,4.502500340529183,238,21,none,0,1,0,click,success no outs,22
clickDown,pause,pause,4.502500340529183,238,21,none,0,1,1,barspace,fail,4
clickDown,pause,pause,4.502500340529183,238,21,none,0,1,1,click,fail,5
clickDown,pause,pause,4.502500340529183,238,21,none,0,2,1,barspace,success +1 reach,6
clickDown,pause,pause,4.502500340529183,238,21,none,0,2,1,click,success +1 reach,5
clickDown,pause,pause,4.502500340529183,238,21,none,0,2,2,barspace,fail,1
clickDown,pause,pause,5.0,336,21,green,0,1,0,barspace,success no outs,23
clickDown,pause,pause,5.0,336,21,green,0,1,0,click,success no outs,27
clickDown,pause,pause,5.0,336,21,green,0,1,1,barspace,fail,3
clickDown,pause,pause,5.0,336,21,green,0,1,1,click,fail,3
clickDown,pause,pause,5.0,336,21,green,0,2,1,barspace,success +1 reach,5
clickDown,pause,pause,5.0,336,21,green,0,2,1,click,success +1 reach,5
clickDown,pause,pause,5.0,336,21,green,15,1,0,barspace,success no outs,28
clickDown,pause,pause,5.0,336,21,green,15,1,0,click,success no outs,28
clickDown,pause,pause,5.0,336,21,green,15,1,1,barspace,fail,1
clickDown,pause,pause,5.0,336,21,green,15,1,1,click,fail,1
clickDown,pause,pause,5.0,336,21,none,0,1,0,barspace,success no outs,22
clickDown,pause,pause,5.0,336,21,none,0,1,0,click,success no outs,27
clickDown,pause,pause,5.0,336,21,none,0,1,1,barspace,fail,5
clickDown,pause,pause,5.0,336,21,none,0,1,1,click,fail,1
clickDown,pause,pause,5.0,336,21,none,0,2,1,barspace,success +1 reach,4
clickDown,pause,pause,5.0,336,21,none,0,2,1,click,success +1 reach,2
clickDown,pause,pause,5.0,336,21,none,0,2,2,barspace,fail,1
clickDown,pause,pause,5.0,336,21,none,0,3,2,click,success +1 reach,1
clickDown,pause,pause,5.0,336,21,none,0,3,3,barspace,fail,1
clickDown,pause,pause,5.0,672,42,green,0,1,0,barspace,success no outs,26
clickDown,pause,pause,5.0,672,42,green,0,1,0,click,success no outs,22
clickDown,pause,pause,5.0,672,42,green,0,1,1,barspace,fail,1
clickDown,pause,pause,5.0,672,42,green,0,1,1,click,fail,1
clickDown,pause,pause,5.0,672,42,green,0,2,1,barspace,success +1 reach,4
clickDown,pause,pause,5.0,672,42,green,0,2,1,click,success +1 reach,8
clickDown,pause,pause,5.0,672,42,green,0,2,2,click,fail,1
clickDown,pause,pause,5.0,672,42,green,0,3,2,click,success +1 reach,1
clickDown,pause,pause,5.0,672,42,green,0,4,4,barspace,fail,1
clickDown,pause,pause,5.0,672,42,green,15,1,0,barspace,success no outs,28
clickDown,pause,pause,5.0,672,42,green,15,1,0,click,success no outs,23
clickDown,pause,pause,5.0,672,42,green,15,1,1,click,fail,2
clickDown,pause,pause,5.0,672,42,green,15,2,1,barspace,success +1 reach,2
clickDown,pause,pause,5.0,672,42,green,15,2,1,click,success +1 reach,2
clickDown,pause,pause,5.0,672,42,green,15,2,2,barspace,fail,1
clickDown,pause,pause,5.0,672,42,green,15,3,2,barspace,success +1 reach,1
clickDown,pause,pause,5.0,672,42,green,15,3,2,click,success +1 reach,1
clickDown,pause,pause,5.0,672,42,none,0,1,0,barspace,success no outs,24
clickDown,pause,pause,5.0,672,42,none,0,1,0,click,success no outs,24
clickDown,pause,pause,5.0,672,42,none,0,2,1,barspace,success +1 reach,8
clickDown,pause,pause,5.0,672,42,none,0,2,1,click,success +1 reach,5
clickDown,pause,pause,6.0,672,21,green,0,1,0,barspace,success no outs,20
clickDown,pause,pause,6.0,672,21,green,0,1,0,click,success no outs,23
clickDown,pause,pause,6.0,672,21,green,0,1,1,barspace,fail,3
clickDown,pause,pause,6.0,672,21,green,0,1,1,click,fail,3
clickDown,pause,pause,6.0,672,21,green,0,2,1,barspace,success +1 reach,8
clickDown,pause,pause,6.0,672,21,green,0,2,1,click,success +1 reach,5
clickDown,pause,pause,6.0,672,21,green,15,1,0,barspace,success no outs,29
clickDown,pause,pause,6.0,672,21,green,15,1,0,click,success no outs,30
clickDown,pause,pause,6.0,672,21,green,15,1,1,barspace,fail,1
clickDown,pause,pause,6.0,672,21,green,15,2,1,barspace,success +1 reach,2
clickDown,pause,pause,6.0,672,21,green,15,2,1,click,success +1 reach,4
clickDown,pause,pause,6.0,672,21,none,0,1,0,barspace,success no outs,21
clickDown,pause,pause,6.0,672,21,none,0,1,0,click,success no outs,22
clickDown,pause,pause,6.0,672,21,none,0,1,1,barspace,fail,3
clickDown,pause,pause,6.0,672,21,none,0,1,1,click,fail,3
clickDown,pause,pause,6.0,672,21,none,0,2,1,barspace,success +1 reach,6
clickDown,pause,pause,6.0,672,21,none,0,2,1,click,success +1 reach,6
clickDown,pause,pause,6.0,672,21,none,0,2,2,barspace,fail,2
clickDown,pause,pause,6.0,672,21,none,0,4,3,barspace,success +1 reach,1
clickDown,rapid+slow,rapid,2.5025003405291835,238,84,green,0,1,0,click,success no outs,1
clickDown,rapid+slow,rapid,2.5025003405291835,238,84,green,15,1,0,barspace,success no outs,2
clickDown,rapid+slow,rapid,2.5025003405291835,238,84,green,15,1,0,click,success no outs,2
clickDown,rapid+slow,rapid,2.5025003405291835,238,84,none,0,1,0,barspace,success no outs,1
clickDown,rapid+slow,rapid,2.5025003405291835,238,84,none,0,1,0,click,success no outs,2
clickDown,rapid+slow,rapid,3.0,336,84,green,0,1,0,click,success no outs,1
clickDown,rapid+slow,rapid,3.0,336,84,green,15,1,0,barspace,success no outs,1
clickDown,rapid+slow,rapid,3.0,336,84,green,15,1,0,click,success no outs,1
clickDown,rapid+slow,rapid,3.0,336,84,none,0,1,0,barspace,success no outs,1
clickDown,rapid+slow,rapid,3.0,336,84,none,0,1,0,click,success no outs,2
clickDown,rapid+slow,rapid,3.5025003405291835,238,42,green,0,1,0,click,success no outs,1
clickDown,rapid+slow,rapid,4.0,336,42,none,0,2,1,barspace,success +1 reach,1
clickDown,rapid+slow,rapid,4.0,672,84,green,0,1,0,click,success no outs,2
clickDown,rapid+slow,rapid,4.0,672,84,green,15,1,0,click,success no outs,4
clickDown,rapid+slow,rapid,5.0,336,21,green,15,1,0,click,success no outs,1
clickDown,rapid+slow,rapid,5.0,336,21,none,0,2,1,barspace,success +1 reach,1
clickDown,rapid+slow,rapid,5.0,672,42,none,0,1,0,click,success no outs,1
clickDown,rapid+slow,rapid,6.0,672,21,green,0,1,0,click,success no outs,1
clickDown,slow,slow,2.5025003405291835,238,84,green,0,1,0,barspace,success no outs,3
clickDown,slow,slow,2.5025003405291835,238,84,green,0,1,0,click,success no outs,4
clickDown,slow,slow,2.5025003405291835,238,84,green,0,1,1,barspace,fail,2
clickDown,slow,slow,2.5025003405291835,238,84,green,15,1,0,barspace,success no outs,4
clickDown,slow,slow,2.5025003405291835,238,84,green,15,1,0,click,success no outs,5
clickDown,slow,slow,2.5025003405291835,238,84,none,0,1,0,barspace,success no outs,4
clickDown,slow,slow,2.5025003405291835,238,84,none,0,1,0,click,success no outs,4
clickDown,slow,slow,2.5025003405291835,238,84,none,0,1,1,click,fail,2
clickDown,slow,slow,2.5025003405291835,238,84,none,0,2,1,barspace,success +1 reach,2
clickDown,slow,slow,3.0,336,84,green,0,1,0,barspace,success no outs,1
clickDown,slow,slow,3.0,336,84,green,0,1,0,click,success no outs,5
clickDown,slow,slow,3.0,336,84,green,0,2,1,barspace,success +1 reach,1
clickDown,slow,slow,3.0,336,84,green,15,1,0,barspace,success no outs,4
clickDown,slow,slow,3.0,336,84,green,15,1,0,click,success no outs,6
clickDown,slow,slow,3.0,336,84,none,0,1,0,barspace,success no outs,1
clickDown,slow,slow,3.0,336,84,none,0,1,0,click,success no outs,3
clickDown,slow,slow,3.0,336,84,none,0,2,1,barspace,success +1 reach,2
clickDown,slow,slow,3.0,336,84,none,0,2,2,barspace,fail,1
clickDown,slow,slow,3.5025003405291835,238,42,green,0,1,0,barspace,success no outs,2
clickDown,slow,slow,3.5025003405291835,238,42,green,0,1,1,barspace,fail,1
clickDown,slow,slow,3.5025003405291835,238,42,green,0,2,1,barspace,success +1 reach,2
clickDown,slow,slow,3.5025003405291835,238,42,green,15,1,0,barspace,success no outs,2
clickDown,slow,slow,3.5025003405291835,238,42,green,15,1,0,click,success no outs,3
clickDown,slow,slow,3.5025003405291835,238,42,none,0,1,0,barspace,success no outs,2
clickDown,slow,slow,3.5025003405291835,238,42,none,0,1,0,click,success no outs,3
clickDown,slow,slow,3.5025003405291835,238,42,none,0,1,1,barspace,fail,1
clickDown,slow,slow,3.5025003405291835,238,42,none,0,2,1,barspace,success +1 reach,1
clickDown,slow,slow,3.5025003405291835,238,42,none,0,2,1,click,success +1 reach,1
clickDown,slow,slow,4.0,336,42,green,0,1,0,barspace,success no outs,2
clickDown,slow,slow,4.0,336,42,green,0,1,0,click,success no outs,1
clickDown,slow,slow,4.0,336,42,green,0,1,1,click,fail,1
