event,movement_type_reach,ID,A,W,feedbackMode,buffer,reaching_count,outs_count,indication,count
clickDown,pause,2.5025003405291835,238,84,green,0,1,0,barspace,21
clickDown,pause,2.5025003405291835,238,84,green,0,1,0,click,29
clickDown,pause,2.5025003405291835,238,84,green,0,1,1,barspace,7
clickDown,pause,2.5025003405291835,238,84,green,0,2,1,barspace,2
clickDown,pause,2.5025003405291835,238,84,green,15,1,0,barspace,26
clickDown,pause,2.5025003405291835,238,84,green,15,1,0,click,27
clickDown,pause,2.5025003405291835,238,84,green,15,1,1,barspace,3
clickDown,pause,2.5025003405291835,238,84,green,15,2,1,barspace,1
clickDown,pause,2.5025003405291835,238,84,green,15,2,1,click,1
clickDown,pause,2.5025003405291835,238,84,none,0,1,0,barspace,24
clickDown,pause,2.5025003405291835,238,84,none,0,1,0,click,18
clickDown,pause,2.5025003405291835,238,84,none,0,1,1,barspace,4
clickDown,pause,2.5025003405291835,238,84,none,0,2,1,barspace,1
clickDown,pause,2.5025003405291835,238,84,none,0,2,1,click,5
clickDown,pause,3.0,336,84,green,0,1,0,barspace,28
clickDown,pause,3.0,336,84,green,0,1,0,click,22
clickDown,pause,3.0,336,84,green,0,1,1,barspace,3
clickDown,pause,3.0,336,84,green,0,2,1,barspace,2
clickDown,pause,3.0,336,84,green,0,2,1,click,6
clickDown,pause,3.0,336,84,green,0,2,2,click,1
clickDown,pause,3.0,336,84,green,15,1,0,barspace,20
clickDown,pause,3.0,336,84,green,15,1,0,click,23
clickDown,pause,3.0,336,84,green,15,1,1,barspace,6
clickDown,pause,3.0,336,84,green,15,1,1,click,1
clickDown,pause,3.0,336,84,green,15,2,1,click,3
clickDown,pause,3.0,336,84,none,0,1,0,barspace,23
clickDown,pause,3.0,336,84,none,0,1,0,click,25
clickDown,pause,3.0,336,84,none,0,1,1,barspace,5
clickDown,pause,3.0,336,84,none,0,1,1,click,3
clickDown,pause,3.0,336,84,none,0,2,1,barspace,3
clickDown,pause,3.5025003405291835,238,42,green,0,1,0,barspace,23
clickDown,pause,3.5025003405291835,238,42,green,0,1,0,click,31
clickDown,pause,3.5025003405291835,238,42,green,0,1,1,barspace,3
clickDown,pause,3.5025003405291835,238,42,green,0,1,1,click,2
clickDown,pause,3.5025003405291835,238,42,green,0,2,1,click,2
clickDown,pause,3.5025003405291835,238,42,green,0,2,2,barspace,1
clickDown,pause,3.5025003405291835,238,42,green,15,1,0,barspace,31
